date,orders,status,value,service_name 
2/1/2016,13570,Completed,499360680,Uber_SEND
2/1/2016,14900,Completed,355577040,Uber_SHOP
2/1/2016,20,Completed,,Uber_TIX
2/1/2016,10,Failed/Timeout,,Uber_TIX
2/1/2016,30,No Driver Found,18124470,Uber_BOX
2/1/2016,0,No Driver Found,564200,Uber_CLEAN
2/1/2016,1370,No Driver Found,28774200,Uber_FOOD
2/1/2016,10,No Driver Found,1956500,Uber_GLAM
2/1/2016,40,No Driver Found,7398300,Uber_MASSAGE
2/1/2016,1050,No Driver Found,29190980,Uber_RIDE
2/1/2016,70,No Driver Found,3245060,Uber_SEND
2/1/2016,80,No Driver Found,1889160,Uber_SHOP
2/1/2016,10,Other,154700,Uber_FOOD
2/1/2016,10,Other,200200,Uber_RIDE
2/1/2016,0,Other,54600,Uber_SEND
3/1/2016,230,Cancelled,104029380,Uber_BOX
3/1/2016,30,Cancelled,4786600,Uber_CLEAN
3/1/2016,34300,Cancelled,595813400,Uber_FOOD
3/1/2016,10,Cancelled,1001000,Uber_GLAM
3/1/2016,2460,Cancelled,34489000,Uber_MART
3/1/2016,70,Cancelled,13058500,Uber_MASSAGE
3/1/2016,31490,Cancelled,802530820,Uber_RIDE
3/1/2016,2500,Cancelled,97672120,Uber_SEND
3/1/2016,10370,Cancelled,262465840,Uber_SHOP
3/1/2016,80,Cancelled,,Uber_TIX
3/1/2016,620,Completed,229783645,Uber_BOX
3/1/2016,210,Completed,33074860,Uber_CLEAN
3/1/2016,80590,Completed,1359740200,Uber_FOOD
3/1/2016,70,Completed,10756200,Uber_GLAM
3/1/2016,0,Completed,27300,Uber_KILAT
3/1/2016,3210,Completed,44935800,Uber_MART
3/1/2016,610,Completed,119873390,Uber_MASSAGE
3/1/2016,167840,Completed,3721508700,Uber_RIDE
3/1/2016,14240,Completed,526746220,Uber_SEND
3/1/2016,14390,Completed,341455660,Uber_SHOP
3/1/2016,0,Completed,,Uber_TIX
3/1/2016,0,Failed/Timeout,,Uber_TIX
3/1/2016,50,No Driver Found,37631230,Uber_BOX
3/1/2016,10,No Driver Found,664300,Uber_CLEAN
3/1/2016,1340,No Driver Found,28128100,Uber_FOOD
